# WARNCELLID,NAME,LATLON
105914000,Stadt Hagen,"51.355949550000005,7.474000458111946"
105915000,Stadt Hamm,"51.6893437,7.8439343"
105916000,Stadt Herne,"51.5582721,7.2091267"
105954000,Ennepe-Ruhr-Kreis,"51.3481444,7.3351844"
105958000,Hochsauerlandkreis,"51.32082475,8.268492475234643"
105962000,Märkischer Kreis,"51.27348575,7.727426555037326"
105966000,Kreis Olpe,"51.0293852,7.8422155"
105970000,Kreis Siegen-Wittgenstein,"50.9175238,8.137557211996047"
105974000,Kreis Soest,"51.5707862,8.1071503"
105978000,Kreis Unna,"51.5766562,7.6893878"
106411000,Stadt Darmstadt,"49.8790123,8.66189"
106412000,Stadt Frankfurt am Main,"50.1111793,8.680760381911783"
106413000,Stadt Offenbach,"50.088621,8.7834589"
106414000,Stadt Wiesbaden,"50.1053622,8.193779826230347"
106431000,Kreis Bergstraße,"49.62303715,8.527174217356759"
106432000,Kreis Darmstadt-Dieburg,"49.843514,8.6582383852447"
106433000,Kreis Groß-Gerau,"49.9009218,8.45134639647473"
106434000,Hochtaunuskreis,"50.28538435,8.502987484754563"
106435000,Main-Kinzig-Kreis,"50.265220799999994,9.405233417250212"
106436000,Main-Taunus-Kreis,"50.0995554,8.426411154335458"
106437000,Odenwaldkreis,"49.66397155,8.966028345529717"
106438000,Kreis Offenbach am Main,"50.1251078,8.871792"
106439000,Rheingau-Taunus-Kreis,"50.133906499999995,8.069959837878164"
106440000,Wetteraukreis,"50.3311113,8.933770821912313"
106531000,Kreis Gießen,"48.1812375,10.0840375"
106532000,Lahn-Dill-Kreis,"50.63871725,8.326829857627118"
106533000,Kreis Limburg-Weilburg,"50.4317857,8.075622"
106534000,Kreis Marburg-Biedenkopf,"50.8504742,9.1208071"
106535000,Vogelsbergkreis,"50.6412263,9.258772"
106611000,Stadt Kassel,"51.313261749999995,9.498956519146304"
106631000,Kreis Fulda,"51.07086355,9.551882590789466"
106632000,Kreis Hersfeld-Rotenburg,"51.07056605,9.933896099999993"
106633000,Kreis Kassel,"51.293642500000004,9.507014840087482"
106634000,Schwalm-Eder-Kreis,"51.0151052,9.328527886251411"
106635000,Kreis Waldeck-Frankenberg,"51.0937029,8.9282851"
106636000,Werra-Meißner-Kreis,"51.2065714,9.891924361094981"
107111000,Stadt Koblenz,"50.43912895,7.404867884771138"
107131000,Kreis Ahrweiler,"50.60933935,6.806985643306305"
107132000,Kreis Altenkirchen (Westerwald),"50.541370650000005,7.438038515919403"
107133000,Kreis Bad Kreuznach,"49.8344671,7.8356738"
107134000,Kreis Birkenfeld,"50.854912,7.3677905"
107135000,Kreis Cochem-Zell,"50.13073565,7.143680231140941"
107137000,Kreis Mayen-Koblenz,"50.3829059,7.6390839"
107138000,Kreis Neuwied,"51.1197923,10.4213476"
107140000,Rhein-Hunsrück-Kreis,"50.0215164,7.4890547"
107141000,Rhein-Lahn-Kreis,"50.2649233,7.8606742"
107143000,Westerwaldkreis,"50.5568937,7.8657066"
107211000,Stadt Trier,"49.7515414,6.6413137"
107231000,Kreis Bernkastel-Wittlich,"50.0982297,6.8084529"
107232000,Eifelkreis Bitburg-Prüm,"50.0375377,6.3976527"
107233000,Kreis Vulkaneifel,"50.2313654,6.5876393"
107235000,Kreis Trier-Saarburg,"49.5551603,6.7173258"
107311000,Stadt Frankenthal (Pfalz),"49.542145899999994,8.357006586624845"
107312000,Stadt Kaiserslautern,"49.431081250000005,7.792431868145339"
107313000,Stadt Landau in der Pfalz,"49.1957846,8.1205568"
107314000,Stadt Ludwigshafen am Rhein,"49.4898698,8.425538494776742"
107315000,Stadt Mainz,"49.998060100000004,8.268014356070584"
107316000,Stadt Neustadt an der Weinstraße,"49.37585525,8.1214517933017"
107317000,Stadt Pirmasens,"49.2003968,7.604348378798127"
107318000,Stadt Speyer,"49.3610588,8.4251897"
107319000,Stadt Worms,"49.628104199999996,8.357752665908048"
107320000,Stadt Zweibrücken,"49.25010905,7.366670200383183"
107331000,Kreis Alzey-Worms,"49.720784,8.1957196"
107332000,Kreis Bad Dürkheim,"49.4513458,8.0329784"
107333000,Donnersbergkreis,"49.639283,7.9104292"
107334000,Kreis Germersheim,"49.22663415,8.26395651907459"
107335000,Kreis Kaiserslautern,"49.4268635,7.678942"
107336000,Kreis Kusel,"51.6720792,8.3981413"
107337000,Kreis Südliche Weinstraße,"49.1714706,7.9349327"
107338000,Rhein-Pfalz-Kreis,"49.4294558,8.314052637125616"
107339000,Kreis Mainz-Bingen,"49.9129405,8.0440425"
107340000,Kreis Südwestpfalz,"49.2048668,7.478439"
108111000,Stadt Stuttgart,"48.8309646,9.1929077"
108115000,Kreis Böblingen,"48.6797212,8.994212602597567"
108116000,Kreis Esslingen,"48.7411576,9.3013967"
108117000,Kreis Göppingen,"48.5486489,9.6261818"
108118000,Kreis Ludwigsburg,"54.5133252,9.9319813"
108119000,Rems-Murr-Kreis,"48.8875653,9.4954806"
108121000,Stadt Heilbronn,"49.0994619,9.1544295"
108125000,Kreis Heilbronn,"49.471941,8.6576858"
108126000,Hohenlohekreis,"49.263305900000006,9.621815925226084"
108127000,Kreis Schwäbisch Hall,"49.3717421,8.746515"
108128000,Main-Tauber-Kreis,"49.5713991,9.671039958568594"
108135000,Kreis Heidenheim,"48.6727091,10.146767"
108136000,Ostalbkreis,"48.88774545,10.099352516280666"
108211000,Stadt Baden-Baden,"48.7697696,8.2025472"
108212000,Stadt Karlsruhe,"48.998351,8.401427066362848"
108215000,Kreis Karlsruhe,"50.14539325,7.432247195572249"
108216000,Kreis Rastatt,"48.6952684,8.3413515"
108221000,Stadt Heidelberg,"49.411780300000004,8.703386771936266"
108222000,Stadt Mannheim,"49.5000928,8.4614823"
108225000,Neckar-Odenwald-Kreis,"49.4678557,9.271007185203327"
108226000,Rhein-Neckar-Kreis,"49.39996025,8.565594868784146"
108231000,Stadt Pforzheim,"48.8432087,8.641243"
108235000,Kreis Calw,"48.660733300000004,8.696831736542931"
108236000,Enzkreis,"48.9182003,8.843240892598908"
108237000,Kreis Freudenstadt,"48.4905215,8.3129171"
108311000,Stadt Freiburg im Breisgau,"47.9961661,7.8489814"
108315000,Kreis Breisgau-Hochschwarzwald,"48.030323,7.7728929"
108316000,Kreis Emmendingen,"48.118394,7.866062"
108317000,Ortenaukreis,"48.438979599999996,8.009902759217347"
108325000,Kreis Rottweil,"48.055953349999996,8.460343606924642"
108326000,Schwarzwald-Baar-Kreis,"47.979414750000004,8.488942937199678"
108327000,Kreis Tuttlingen,"48.0486399,8.6237769"
108335000,Kreis Konstanz,"47.708338,9.0816672"
108336000,Kreis Lörrach,"47.5908546,7.7975441"
108337000,Kreis Waldshut,"47.6283934,8.5013251"
108415000,Kreis Reutlingen,"48.2075025,9.5627653"
108416000,Kreis Tübingen,"48.5265385,9.0865834"
108417000,Zollernalbkreis,"48.26036825,8.91244975996355"
108421000,Stadt Ulm,"48.3959509,9.9914088"
108425000,Alb-Donau-Kreis,"48.3869659,9.728756084059711"
108426000,Kreis Biberach,"48.088717,9.7538928"
108435000,Bodenseekreis,"47.7309856,9.375236685811299"
108436000,Kreis Ravensburg,"50.8293349,7.1694423"
108437000,Kreis Sigmaringen,"48.09633855,9.222722989858205"
109161000,Stadt Ingolstadt,"48.762996150000006,11.425527132897457"
109162000,Stadt München,"48.141579,11.6090201"
109163000,Stadt Rosenheim,"47.8507976,12.1199746"
109171000,Kreis Altötting,"48.2208934,12.8799176"
109172000,Kreis Berchtesgadener Land,"47.7051183,12.7338986"
109173000,Kreis Bad Tölz-Wolfratshausen,"47.7402685,11.4204383"
109174000,Kreis Dachau,"48.2579318,11.3422433"
109175000,Kreis Ebersberg,"49.2994335,7.3402527"
109176000,Kreis Eichstätt,"48.9939626,11.4621158"
109177000,Kreis Erding,"49.6865198,9.6971691"
109178000,Kreis Freising,"48.4825736,11.915519"
109179000,Kreis Fürstenfeldbruck,"48.2386304,11.1554951"
109180000,Kreis Garmisch-Partenkirchen,"47.4711256,10.9761788"
109181000,Kreis Landsberg am Lech,"48.0336797,10.8305498"
109182000,Kreis Miesbach,"50.4041105,6.3866293"
109183000,Kreis Mühldorf a. Inn,"48.2504789,12.4735157"
109184000,Kreis München,"47.9958373,11.6595764"
109185000,Kreis Neuburg-Schrobenhausen,"48.62692,11.0463738"
109186000,Kreis Pfaffenhofen a.d. Ilm,"48.534535,11.508249"
109187000,Kreis Rosenheim,"47.784724,12.1010489"
109188000,Kreis Starnberg,"48.0358583,11.359362181611843"
109189000,Kreis Traunstein,"47.9406165,12.604484"
109190000,Kreis Weilheim-Schongau,"47.7851205,10.9328396"
109261000,Stadt Landshut,"48.53867835,12.152590676133112"
109262000,Stadt Passau,"48.5786653,13.473976756960129"
109263000,Stadt Straubing,"48.8846135,12.53668131491891"
109271000,Kreis Deggendorf,"48.8477159,12.9038174"
109272000,Kreis Freyung-Grafenau,"48.80710535,13.544701850928433"
109273000,Kreis Kelheim,"48.8796275,11.8745792"
109274000,Kreis Landshut,"48.7399039,12.0826755"
109275000,Kreis Passau,"54.2671736,10.3118071"
109276000,Kreis Regen,"51.2105164,6.9759603"
109277000,Kreis Rottal-Inn,"48.5127125,13.0767654"
109278000,Kreis Straubing-Bogen,"49.0504105,12.686039"
109279000,Kreis Dingolfing-Landau,"48.5704808,12.4502162"
109361000,Stadt Amberg,"51.0022863,14.2558424"
109362000,Stadt Regensburg,"49.0166281,12.0891414"
109363000,Stadt Weiden i.d. OPf.,"49.6640857,12.130384"
109371000,Kreis Amberg-Sulzbach,"50.302682,7.7518932"
109372000,Kreis Cham,"49.2022165,12.5862172"
109373000,Kreis Neumarkt i.d. OPf.,"49.2778814,11.4454834"
109374000,Kreis Neustadt a.d. Waldnaab,"49.7269912,12.1313373"
109375000,Kreis Regensburg,"49.0131682,12.1413103"
109376000,Kreis Schwandorf,"49.3177917,12.0343638"
109377000,Kreis Tirschenreuth,"49.8887211,12.2793154"
109461000,Stadt Bamberg,"49.8925395,10.8875105"
109462000,Stadt Bayreuth,"49.9438899,11.5746336"
109463000,Stadt Coburg,"50.26501665,10.957831692313746"
109464000,Stadt Hof,"48.7902811,9.5170769"
109471000,Kreis Bamberg,"50.5515972,8.52074"
109472000,Kreis Bayreuth,"49.8293929,11.3764296"
109473000,Kreis Coburg,"48.3869659,9.728756084059711"
109474000,Kreis Forchheim,"49.7123656,11.0281205"
109475000,Kreis Hof,"51.0818014,7.3555356"
109476000,Kreis Kronach,"50.2483061,11.2711515"
109477000,Kreis Kulmbach,"50.1236494,11.3626139"
109478000,Kreis Lichtenfels,"51.0937029,8.9282851"
109479000,Kreis Wunsiedel i. Fichtelgebirge,"50.0730421,12.17301578844516"
109561000,Stadt Ansbach,"49.2941259,10.5694424"
109562000,Stadt Erlangen,"49.5937898,11.0049855"
109563000,Stadt Fürth,"49.4686492,11.012619930696044"
109564000,Stadt Nürnberg,"49.457172099999994,11.073826976367776"
109565000,Stadt Schwabach,"49.322706499999995,11.028610096481144"
109571000,Kreis Ansbach,"50.0061128,8.0000249"
109572000,Kreis Erlangen-Höchstadt,"49.6296902,10.8001543"
109573000,Kreis Fürth,"49.6477624,8.7762994"
109574000,Kreis Nürnberger Land,"51.0874925,9.5575154"
109575000,Kreis Neustadt a.d. Aisch-Bad Windsheim,"49.6463966,10.6963349"
109576000,Kreis Roth,"50.2668456,7.8955191"
109577000,Kreis Weißenburg-Gunzenhausen,"49.0597262,10.8278728"
109661000,Stadt Aschaffenburg,"49.9761466,9.146201278519857"
109662000,Stadt Schweinfurt,"50.043634749999995,10.23732660774052"
109663000,Stadt Würzburg,"49.8197953,9.959961"
109671000,Kreis Aschaffenburg,"49.97255,9.1494327"
109672000,Kreis Bad Kissingen,"50.197504,9.9849711"
109673000,Kreis Rhön-Grabfeld,"50.3802192,10.1258051"
109674000,Kreis Haßberge,"50.0599105,10.4512826"
109675000,Kreis Kitzingen,"49.7473996,10.1259295"
109676000,Kreis Miltenberg,"49.5788137,9.3852974"
109677000,Kreis Main-Spessart,"50.24092645,9.419279810205744"
109678000,Kreis Schweinfurt,"49.9911683,10.3083341"
109679000,Kreis Würzburg,"50.621146749999994,8.16191798126642"
109761000,Stadt Augsburg,"48.3702557,10.8945246"
109762000,Stadt Kaufbeuren,"47.8795683,10.6218581"
109763000,Stadt Kempten (Allgäu),"47.73475,10.3032333"
109764000,Stadt Memmingen,"47.9861021,10.1826868"
109771000,Kreis Aichach-Friedberg,"48.3935884,10.9896894"
109772000,Kreis Augsburg,"54.5033271,9.1026652"
109773000,Kreis Dillingen a.d. Donau,"48.5776082,10.4961322"
109774000,Kreis Günzburg,"48.2333983,10.3164183"
109775000,Kreis Neu-Ulm,"48.4889216,10.1208466"
109776000,Kreis Lindau (Bodensee),"47.5728559,9.6535153"
109777000,Kreis Ostallgäu,"47.786358,10.6597937"
109778000,Kreis Unterallgäu,"48.0628031,10.6403727"
109779000,Kreis Donau-Ries,"48.8396592,10.850461165126813"
109780000,Kreis Oberallgäu,"47.5665404,9.9547941"
110041000,Regionalverband Saarbrücken,"49.2447573,6.971662876252603"
110042000,Kreis Merzig-Wadern,"49.4927238,6.5199026"
110043000,Kreis Neunkirchen,"50.8422101,7.336617"
110044000,Kreis Saarlouis,"49.3108873,6.751119763940672"
110045000,Saarpfalz-Kreis,"49.2613761,7.198231589855275"
110046000,Kreis St. Wendel,"49.4787585,7.072434727256018"
111000000,Berlin,"52.5170365,13.3888599"
112051000,Stadt Brandenburg,"52.41249525,12.553925882476161"
112052000,Stadt Cottbus,"51.7512991,14.3223077"
112053000,Stadt Frankfurt (Oder),"52.3365359,14.5466945"
